"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1710","UI add product to cart","tests.ui","2026-09-19","passed","2026-09-19","","test_products_ui","",""
"","1094","UI Logging with right user data","tests.ui","2026-09-19","passed","2026-09-19","","test_users_ui","",""
"","1733","UI Log-out","tests.ui","2026-09-19","passed","2026-09-19","","test_users_ui","",""
"","102","Verify login with correct credentials","tests.api","2026-09-19","passed","2026-09-19","","test_users","",""
"","1593","UI delete account","tests.ui","2026-09-19","passed","2026-09-19","","test_users_ui","",""
"","364","Create a user","tests.api","2026-09-19","passed","2026-09-19","","test_users","",""
"","468","Delete a user","tests.api","2026-09-19","passed","2026-09-19","","test_users","",""
"","124","Return the list of brands","tests.api","2026-09-19","passed","2026-09-19","","test_products","",""
"","241","Update a user","tests.api","2026-09-19","passed","2026-09-19","","test_users","",""
"","478","Return the products catalogue","tests.api","2026-09-19","passed","2026-09-19","","test_products","",""
